reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
1f8660a6-5566-4a93-a4cf-850617a78d25,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"usernya tdk friendly, bikin rek online, kemudian bikin atm di cabangya masak gabisa?? aneh",1,0,4.55.1,2026-05-09 03:35:32,"Hi Ilham Taufik, mohon maaf atas ketidaknyamanannya. Untuk pengecekan lebih lanjut silakan menghubungi kami melalui Tanya OCBC di nomor 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form dengan senang hati kami akan membantu. Terima kasih",2026-05-09 05:05:48,4.55.1
0f978d56-92b4-47a8-9932-e74218626b8b,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,eror trus stiap buka di tgl gajian,1,0,4.55.3,2026-05-07 21:03:14,"Hi Lena Mardinah, mohon maaf atas ketidaknyamanannya. Mohon pastikan sinyal operator/internet Anda kuat & stabil. Setelah itu, tutup aplikasi, clear chache, restart jaringan & login kembali. Apabila masih terkendala, silakan menghubungi kami melalui Tanya OCBC di 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form. Terima kasih",2026-05-08 01:03:54,4.55.3
a3f4141b-eec6-4f92-b140-72e479eed8da,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"parah ini ocbc,akun saya tbtb gabisa di trf dan saya datang ke cabangnya malah disuruh penutupan akun,tanpa ada kejelasan. kenapa tbtb disuruh penutupannya,katanya dari kantor pusatnya begitu,padahal saya buat akun tersebut karna ada org ocbc nya lgsng datang ke toko saya dan proses pembalikan dana toko saya smpe berbulan"".payah",1,0,,2026-05-07 17:51:46,"Hi Yafi Yasyaf, mohon maaf atas ketidaknyamanannya. Untuk pengecekan lebih lanjut silakan menghubungi kami melalui Tanya OCBC di nomor 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form dengan senang hati kami akan membantu. Terima kasih",2026-05-08 01:03:43,
26278d27-1724-4440-983a-ad245d185db2,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"ribet, masa d suruh ke dukcapil bilang kata ny muka ny beda, mank ny abis operasi plastik, sistem ny g canggih",1,0,4.55.3,2026-05-07 04:13:24,"Hi Viko Geronimo, mohon maaf atas ketidaknyamanannya. Untuk pengecekan lebih lanjut silakan menghubungi kami melalui Tanya OCBC di nomor 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form dengan senang hati kami akan membantu. Terima kasih",2026-05-07 05:14:22,4.55.3
c2e923de-59fd-4ed8-bd55-bdeb1145b116,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Tombol masukin PIN Transaksi tolong di fix-kan lagi, saya udah masukin PIN benar tapi dibilang salah, udah 3x jadi DIBLOKIR. Balikin aja ke keyboard bawaan hp, udah benar dulu pun gak ada masalah",1,0,,2026-05-04 15:53:18,"Hi Wahyu Putra, terima kasih sudah menjadi nasabah OCBC, review yang Anda berikan akan menjadi masukan bagi kami agar lebih baik di masa mendatang. Terima kasih",2026-05-05 01:03:02,
f2ff5581-3c88-4c0c-9ed3-10050e08eaba,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,tolong saya pengajuan ga ada kejelasannya tolong data saya jangan disalahgunakan,1,0,4.55.3,2026-05-04 08:30:34,"Hi Aqila Aqila, mohon maaf atas ketidaknyamanannya. Untuk pengecekan lebih lanjut silakan menghubungi kami melalui Tanya OCBC di nomor 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form dengan senang hati kami akan membantu. Terima kasih",2026-05-04 08:43:40,4.55.3
f2a79cf6-9c67-4922-bea8-135a0c6a8915,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,GA BISA MENERIMA KODE VERIFNYA,1,0,4.55.3,2026-05-02 06:12:40,"Hi Rime Scale, mohon maaf atas ketidaknyamanannya. Untuk pengecekan lebih lanjut silakan menghubungi kami melalui Tanya OCBC di nomor 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form dengan senang hati kami akan membantu. Terima kasih",2026-05-02 06:17:42,4.55.3
8884f7a2-c09a-47c9-b420-d1a7bb507383,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,ameh bayaran we ndadak error,1,0,,2026-04-30 08:40:22,"Hi Fandika Yoga, mohon maaf atas ketidaknyamanannya. Mohon pastikan sinyal operator/internet Anda kuat & stabil. Setelah itu, tutup aplikasi, clear chache, restart jaringan & login kembali. Apabila masih terkendala, silakan menghubungi kami melalui Tanya OCBC di 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form. Terima kasih",2026-04-30 08:53:13,
b86bf328-dfcf-4821-b048-0fdde99279c9,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,bank ini sering di pakai oleh penipu buat mencuri uang yang ada di tabungan orang lain. saya berani bicara gini karna saya korban,1,0,,2026-04-29 15:39:27,"Hi Roy Gunawan, mohon maaf atas ketidaknyamanannya. Untuk pengecekan lebih lanjut silakan menghubungi kami melalui Tanya OCBC di nomor 1500999 atau melalui https://www.ocbc.id/id/hubungi-kami/feedback-form dengan senang hati kami akan membantu. Terima kasih",2026-04-30 01:07:51,
c6827c67-5fbc-4e21-b434-91e611f3f518,Pengguna Google,https://play-lh.googleusercontent.com/EGemoI2NTXmTsBVtJqk8jxF9rh8ApRWfsIMQSt2uE4OcpQqbFu7f7NbTK05lx80nuSijCz7sc3a277R67g,"Mau reset password aplikasi OCBC mobile memakan waktu sangat lama dan tidak secepat bank lain seperti BCA, Mandiri, BNI, apalagi bank digital. Semoga bisa ada perbaikan kedepannya. Terimakasih *Notes: saya lapor Selasa malam tgl 28 April 2026 dan sampai dengan Rabu siang tgl 29 April masih belum bisa di reset passwordnya.",1,0,4.52.3,2026-04-29 03:20:41,"Hi Gangsar Wicaksono, terima kasih sudah menjadi nasabah OCBC, review yang Anda berikan akan menjadi masukan bagi kami agar lebih baik di masa mendatang. Terima kasih",2026-04-29 01:03:38,4.52.3
